No Nasabah, Nilai Investasi 
48156,0
48771,0
51688,0
539,2665146800
13160,2365309669
13486,966799205.1
18787,892304363.6
18982,1199943204
19361,0
19741,0
25683,0
27925,0
31921,0
35457,0
44931,36649692.17
4694,0
5774,1143967389
7060,0
7394,1688271961
11588,0
16715,1605555174
16716,585924006.3
16730,5451701755
19141,1013112000
20210,516685935.5
22405,7369966862
23889,0
24321,0
24322,893060433.2
26513,0
27184,0
27604,846228055
27843,1136302463
27855,2498162042
28496,0
29087,238727631.3
35654,327195863.5
36876,293223171.4
37707,501084282.6
37742,0
40694,0
40695,3612024957
40719,2657832442
40727,2899926698
45018,0
45608,0
51655,1555602078
52779,467730874.1
759,1027001868
761,272921724.6
3737,0
7723,499035211.7
7752,2838568174
8586,1150809917
10151,0
12703,336358451.1
17030,844772213.9
18399,0
18517,0
18605,0
18745,0
18855,789941348.9
18911,0
19844,0
20209,0
23052,1292081559
23080,71886131.75
23952,0
24800,0
24972,0
25774,0
25798,0
26674,0
27208,0
27607,358801502.1
27924,0
28524,0
29908,0
30307,0
31529,0
33192,534657142.8
34099,476853170.6
34923,996894500
38502,1014250000
40724,0
41892,0
44644,0
46253,15714275213
46634,358720767.5
3382,0
8709,0
11145,0
12864,0
16728,1375189842
17906,0
18220,2147740100
23997,412469024.4
24072,4620362221
31170,0
40718,0
44973,300066041.6
46028,1953346009
46682,2534274751
48294,0
48731,0
48778,2718009748
48833,0
48919,669143136.2
50508,1020380000
15243,411515076.1
19526,1056502563
19669,0
23399,0
25835,0
27808,0
30813,1338600977
45219,3067576052
45779,1919720675
50960,1225582201
680830,365849585.5
680880,22682434021
680890,151267048.8
681000,1067838575
681030,0
681030,2229584603
681070,3219976112
681090,0
681090,0
681110,191950171.8
681140,0
681150,0
681150,920520994.5
681170,2452206223
681190,2277310872
681320,400000000
681330,177141341.7
681390,1034138548
681400,253472403.3
681560,1014691000
681590,0
681600,42853056.97
681650,1478419400
681670,100000000
681840,0
681890,4449945899
681890,0
681900,0
681920,4980859563
681970,0
681990,3260792356
682010,0
682060,1078396720
682080,270284425.3
682110,998500000
682100,11210557750
682170,20036447813
682380,2402426860
682400,0
682550,502228771.6
682610,6742483695
682660,2960989939
682680,10490937370
682710,1518645000
682780,0
682830,1018499000
682840,518950612.1
683190,0
683220,58051500.41
683310,0
683310,713252098
683340,356365651.4
683500,0
683500,3684049723
683650,1014691000
683690,322751500.4
683740,18419078400
683790,0
683960,5085301006
684010,0
684030,0
684020,585285308.5
684070,1156603111
684100,337285443.1
684090,0
684100,0
684110,1998000000
684170,0
684230,0
684310,0
684610,0
684660,0
684690,0
684740,87435917.85
684750,445178148
684860,522039400.5
684960,202938200
684990,2684976437
685000,1901889080
685040,1009233081
685160,0
685170,463061853.9
685220,2647783344
685220,4951975000
685230,0
685230,9105121233
685260,0
685290,0
685300,1328136457
685290,1526250000
685370,450655414
685400,2323000000
685480,1084090412
685490,0
685510,2119244400
685560,1583596423
685650,0
685650,5152290863
685730,0
685900,0
685910,437359847.3
685900,0
685910,0
685930,0
685950,0
686090,0
686140,0
686140,102079000
686160,11466497682
686400,0
686500,5119715000
686540,586358631.8
686980,9754334492
687020,0
687330,0
687480,754293495.1
687740,3156267400
687740,0
740080,4140486565
740190,0
740210,1013534157
740340,2546900399
740370,15488723.9
740400,0
740540,0
740580,0
740650,3965969298
740670,0
740680,2646040790
740710,0
740740,295477337.7
740750,0
740790,0
740900,0
740920,100287464.8
740940,2296575496
741000,0
741000,990897529
741050,0
741090,889288267.5
741090,0
741140,2389664650
741190,0
741310,0
741360,257627620.1
741380,4974603116
741400,5188220422
741490,9500363761
741520,0
741540,2035000000
741600,2070176830
741670,86952900.53
741670,0
741680,0
741680,0
741710,2116020119
741750,0
741750,0
741760,2006700880
741790,1480079675
741800,0
741830,2569379900
741870,0
741890,0
741900,4394290261
741940,0
741950,0
741980,0
742000,1241215813
742040,1001534507
742040,2019415445
742050,1384159865
742090,0
742260,6099570000
742261,0
756321,5080140522
742340,572946579.4
742350,0
742420,0
742650,1014799017
742700,0
742780,0
742800,606167901.9
742820,908724735.8
742960,1625510082
743000,559950655.3
743030,1440667070
743050,5906623719
743210,0
743250,362605324.6
743320,0
743350,319801465.8
743370,0
